kod,nazev,dop
0173202,"INDIKAČNÍ SKUPINA VÝMĚNA ŘEČOVÉHO PROCESORU, PLNĚ AKTIVNÍ UŽIVATEL","Řečový procesor, zevní část implantabilního systému, schválení RL."
0040819,AE-INDIKAČNÍ SKUPINA - UŠNÍ TVAROVKA OCHRANNÁ INDIVIDUÁLNĚ ZHOTOVENÁ,Neuvádí se údaj o ztrátě sluchu v DB
0172982,"INDIKAČNÍ SKUPINA POJIŠTĚNEC DO 18 LET VČETNĚ,MONOAURÁLNÍ KOREKCE","Vzdušné vedení, jedno nebo oboustranná ztráta sluchu od 40 dB SRT"
0172984,"INDIKAČNÍ SKUPINA POJIŠTĚNEC DO 18 LET VČETNĚ,BINAURÁLNÍ KOREKCE","Vzdušné vedení, ztráta sluchu od 40 dB SRT"
0172985,"INDIKAČNÍ SKUPINA POJIŠTĚNEC OD 19 LET,MONOAURÁLNÍ KOREKCE","Vzdušné vedení, ztráta sluchu od 40 dB SRT"
0172986,"INDIKAČNÍ SKUPINA POJIŠTĚNEC OD 19 LET,BINAURÁLNÍ KOREKCE","Vzdušné vedení, ztráta sluchu od 40 dB SRT"
0172987,INDIKAČNÍ SKUPINA POJIŠTĚNEC DO 18 LET VČETNĚ,"Kostní vedení, včetně kompletního příslušenství po dobu životnosti sluchadla"
0172988,INDIKAČNÍ SKUPINA POJIŠTĚNEC OD 19 LET,"Kostní vedení, včetně kompletního příslušenství po dobu životnosti sluchadla"
0172989,INDIKAČNÍ SKUPINA POJIŠTĚNEC DO 18 LET VČETNĚ,Brýlové sluchadlo pro kostní vedení jedno nebo oboustranné
0172990,INDIKAČNÍ SKUPINA POJIŠTĚNEC OD 19 LET,Brýlové sluchadlo pro kostní vedení jedno nebo oboustranné
0172991,INDIKAČNÍ SKUPINA POJIŠTĚNEC DO 10 LET VČETNĚ,Vibrační sluchadlo na softbandu neimplantabilní systém
0172992,INDIKAČNÍ SKUPINA POJIŠTĚNEC OD 11 LET,"Kostní sluchadlo, zevní část implantabilního systému, schválení RL"
0172993,"INDIKAČNÍ SKUPINA VÝMĚNA ŘEČOVÉHO PROCESORU, ČÁSTEČNÝ UŽIVATEL",Řečový procesor. Zevní část implantabilního systému. Schválení
