KOD_SUKL;NAZEV;CESTA;SILA;FORMA;BALENI;ATC
0237726;HELICID;POR;20MG;CPS ETD;14 II;A02BC01
0115308;HELICID;POR;20MG;CPS ETD;14 II;A02BC01
0215604;HELICID;POR;20MG;CPS ETD;14 I;A02BC01
0237723;HELICID;POR;20MG;CPS ETD;14 III;A02BC01
0025364;HELICID;POR;20MG;CPS ETD;14 I;A02BC01
0232958;OMEPRAZOL FARMAX;POR;20MG;CPS ETD;14;A02BC01
0232972;OMEPRAZOL FARMAX;POR;20MG;CPS ETD;7;A02BC01
0232973;OMEPRAZOL FARMAX;POR;20MG;CPS ETD;14;A02BC01
0232982;OMEPRAZOL FARMAX;POR;20MG;CPS ETD;7;A02BC01
0212923;OMEPRAZOL GALMED;POR;20MG;CPS ETD;14 II;A02BC01
0212920;OMEPRAZOL GALMED;POR;20MG;CPS ETD;14 I;A02BC01
0212917;OMEPRAZOL GALMED;POR;20MG;CPS ETD;14;A02BC01
0273797;OMEPRAZOL NEURAXPHARM;POR;20MG;CPS ETD;7;A02BC01
0273783;OMEPRAZOL NEURAXPHARM;POR;20MG;CPS ETD;14;A02BC01
0273807;OMEPRAZOL NEURAXPHARM;POR;20MG;CPS ETD;7;A02BC01
0273798;OMEPRAZOL NEURAXPHARM;POR;20MG;CPS ETD;14;A02BC01
0201365;OMEPRAZOL TEVA PHARMA;POR;20MG;CPS ETD;7;A02BC01
0201366;OMEPRAZOL TEVA PHARMA;POR;20MG;CPS ETD;14;A02BC01
0201364;OMEPRAZOL TEVA PHARMA;POR;20MG;CPS ETD;5;A02BC01
0164967;OMEPRAZOL TEVA PHARMA;POR;20MG;CPS ETD;14;A02BC01
0164966;OMEPRAZOL TEVA PHARMA;POR;20MG;CPS ETD;7;A02BC01
0164965;OMEPRAZOL TEVA PHARMA;POR;20MG;CPS ETD;5;A02BC01
0075166;ORTANOL;POR;20MG;CPS ETD;14;A02BC01
0260769;RELUMO;POR;20MG;CPS ETD;7;A02BC01
0260767;RELUMO;POR;20MG;CPS ETD;7;A02BC01
0260770;RELUMO;POR;20MG;CPS ETD;14;A02BC01
0260768;RELUMO;POR;20MG;CPS ETD;14;A02BC01
